YEAR,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
white women,16.9,18.0,18.5,19.5,20.8,21.2,21.5,21.5,21.9,22.1,22.1,22.5,23.0,23.6,24.5,25.3,26.6,27.8,28.7,29.0,29.0,29.0,29.3,29.3,29.2,29.2
black,66.5,67.9,68.1,68.7,70.4,69.9,69.8,69.2,69.1,68.9,68.5,68.4,68.2,68.2,68.8,69.3,70.2,71.2,71.8,72.3,72.1,71.8,71.6,71.0,70.4,70.1
hispanic,36.7,38.5,39.1,40.0,43.1,40.8,40.7,40.9,41.6,42.2,42.7,42.5,43.5,45.0,46.4,48.0,49.9,51.3,52.6,53.2,53.4,53.3,53.5,53.2,52.9,53.0
Asian,13.2,13.9,14.7,15.7,16.2,16.3,16.7,15.6,15.6,15.4,14.8,14.9,14.9,15.0,15.5,16.2,16.5,16.6,16.9,17.2,17.0,17.2,17.0,17.0,16.4,16.4
American Indian or Alaskan Native,53.6,55.3,55.3,55.8,57.0,57.2,58.0,58.7,59.3,58.9,58.4,59.7,59.7,61.3,62.3,63.5,64.6,65.3,65.8,65.4,65.6,66.2,66.9,66.4,65.7,65.8
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
